"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del producto externo","Tasa de Variación Intertrimestral Anualizada del producto doméstico","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]"
".endhist","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1"
"2004Q1",964.06923,3849.32633,459.00908,-0.13367,1122.93624,4467.85533,488.19262,205.19788,962.23320,365.47833,-0.21087,1.62737,664.20696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q2",964.23957,3852.13454,460.78360,-0.00000,1120.04446,4472.74003,489.29521,203.81390,964.78777,366.55613,0.00000,-0.00000,664.59750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q3",964.60870,3855.04259,462.34645,0.00000,1117.91744,4477.74085,490.09928,204.28027,966.41742,367.73784,0.00000,-0.00000,666.62672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q4",965.10001,3858.01751,463.30257,0.13367,1121.92669,4482.82483,491.39782,205.17422,973.94994,369.62133,0.21087,-1.62737,668.47679,2.97491,NaN,6.78573,2.58876,-0.15313,5.08398,NaN,4.83489,-0.80919,16.73449,2.47960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2005Q1",967.05920,3861.00748,466.28397,-0.14096,1128.05393,4487.94252,493.45676,204.11910,979.09954,370.73518,0.72109,-4.85713,670.40307,2.98998,2.92029,7.27489,2.66000,-0.00729,5.11769,5.02180,5.26414,-1.07878,16.86634,2.63667,5.25685,0.93196,-6.48451,-3.35085,6.19611,11.92561,2.04087,-4.22048,-1.09851,8.23575,4.45540,20.59842,-12.91903,7.70512,7.83679,24.50899,0.65268,1.07377,0.05295,-0.26408,0.05521,0.08109,-0.24565,0.33906,-0.02460
"2005Q2",967.55062,3864.31853,468.12732,0.19340,1125.35004,4493.24810,495.01800,202.85860,981.87129,372.47232,0.66562,-6.05514,670.98592,3.31105,3.04600,7.34372,3.13667,0.19340,5.30558,5.12702,5.72279,-0.95530,17.08352,2.85985,5.91619,0.66562,-6.05514,-3.42725,6.38842,7.37342,-0.22186,-5.04202,1.33743,6.24497,6.94856,11.08699,-4.79205,2.33140,1.96566,-10.81558,0.96707,0.49685,0.43283,-0.21368,0.05413,0.09234,-0.18975,0.67572,-0.05468
"2005Q3",968.33138,3868.04121,470.26472,0.54846,1123.54617,4498.87682,496.34791,202.81465,982.92692,374.53492,0.20402,-4.63214,673.07937,3.72267,3.24965,7.91827,3.62333,0.54846,5.62873,5.28399,6.24863,-1.46562,16.50950,3.33671,6.79708,0.20402,-4.63214,-3.32874,6.45265,8.54960,-1.84642,-0.17578,1.42023,5.31962,8.25039,4.22252,5.69200,8.37381,3.12303,-7.21548,1.23623,0.78455,0.43340,-0.07846,0.10010,0.16580,-0.63450,0.34429,0.04656
